field_name,suggested_english_name,unit
100ml당 열량,,
100당 열량,,
1일 섭취량 100ml당 열량,,
1일 섭취량당 열량,,
1일 제공량 30당 열량,,
1일 제공량 40당 열량,,
1일 제공량 90당 열량,,
1일 제공량당 열량,,
1회 섭취량당 열량,,
1회 제공량,,
1회 제공량 1.5L당 열량,,
1회 제공량 100 당 열량,,
1회 제공량 1000ml당 열량,,
1회 제공량 100ml당 열량,,
1회 제공량 100당 열량,,
1회 제공량 100당 탄수화물,,
1회 제공량 105당 열량,,
1회 제공량 10l당 열량,,
1회 제공량 10당 열량,,
1회 제공량 11.6당 열량,,
1회 제공량 110ml당 열량,,
1회 제공량 11당 열량,,
1회 제공량 120l당 열량,,
1회 제공량 120ml당 열량,,
1회 제공량 120당 열량,,
1회 제공량 122ml당 열량,,
1회 제공량 125ml당 열량,,
1회 제공량 125당 열량,,
1회 제공량 127당 열량,,
1회 제공량 12당 열량,,
1회 제공량 130ml당 열량,,
1회 제공량 130당 열량,,
1회 제공량 133당 열량,,
1회 제공량 134당 열량,,
1회 제공량 135ml당 열량,,
1회 제공량 136당 열량,,
1회 제공량 138ml당 열량,,
1회 제공량 138당 열량,,
1회 제공량 13당 열량,,
1회 제공량 140ml당 열량,,
1회 제공량 140당 열량,,
1회 제공량 145ml당 열량,,
1회 제공량 14당 열량,,
1회 제공량 150ml 당 열량,,
1회 제공량 150ml당 열량,,
1회 제공량 150㎖당 열량,,
1회 제공량 150당 열량,,
1회 제공량 160ml당 열량,,
1회 제공량 163ml당 열량,,
1회 제공량 167ml당 열량,,
1회 제공량 16당 열량,,
1회 제공량 17.2당 열량,,
1회 제공량 170ml당 열량,,
1회 제공량 175ml당 열량,,
1회 제공량 17당 열량,,
1회 제공량 180ml당 열량,,
1회 제공량 180당 열량,,
1회 제공량 185ml당 열량,,
1회 제공량 18당 열량,,
1회 제공량 190ml당 열량,,
1회 제공량 190m당 열량,,
1회 제공량 195ml당 열량,,
1회 제공량 1L당 열량,,
1회 제공량 2.7당 열량,,
1회 제공량 200ml당 열량,,
1회 제공량 200㎖당 열량,,
1회 제공량 20l당 열량,,
1회 제공량 20ml당 열량,,
1회 제공량 20당 열량,,
1회 제공량 210ml당 열량,,
1회 제공량 21당 열량,,
1회 제공량 220ml당 열량,,
1회 제공량 225ml당 열량,,
1회 제공량 227당 열량,,
1회 제공량 22당 열량,,
1회 제공량 230ml당 열량,,
1회 제공량 235ml당 열량,,
1회 제공량 236ml당 열량,,
1회 제공량 237ml당 열량,,
1회 제공량 238ml당 열량,,
1회 제공량 23당 열량,,
1회 제공량 240ml당 열량,,
1회 제공량 245ml당 열량,,
1회 제공량 250ml 열량,,
1회 제공량 250ml당 열량,,
1회 제공량 25ml당 열량,,
1회 제공량 25당 열량,,
1회 제공량 260ml당 열량,,
1회 제공량 270ml당 열량,,
1회 제공량 275ml당 열량,,
1회 제공량 27당 열량,,
1회 제공량 28.35ml당 열량,,
1회 제공량 280ml당 열량,,
1회 제공량 281ml당 열량,,
1회 제공량 288ml당 열량,,
1회 제공량 28당 열량,,
1회 제공량 290ml당 열량,,
1회 제공량 296ml당 열량,,
1회 제공량 300ml당 열량,,
1회 제공량 300당 열량,,
1회 제공량 30ml당 열량,,
1회 제공량 30당 열량,,
1회 제공량 31당 열량,,
1회 제공량 320ml당 열량,,
1회 제공량 325ml당 열량,,
1회 제공량 32당 열량,,
1회 제공량 330ml당 열량,,
1회 제공량 340ml당 열량,,
1회 제공량 345ml당 열량,,
1회 제공량 34당 열량,,
1회 제공량 350ml당 열량,,
1회 제공량 350당 열량,,
1회 제공량 355ml당 열량,,
1회 제공량 35ml당 열량,,
1회 제공량 35당 열량,,
1회 제공량 360ml당 열량,,
1회 제공량 37.5ml당 열량,,
1회 제공량 370ml당 열량,,
1회 제공량 375ml당 열량,,
1회 제공량 37당 열량,,
1회 제공량 39당 열량,,
1회 제공량 3ml당 열량,,
1회 제공량 3당 열량,,
1회 제공량 4.5당 열량,,
1회 제공량 400ml당 열량,,
1회 제공량 40ml당 열량,,
1회 제공량 40당 열량,,
1회 제공량 410ml당 열량,,
1회 제공량 420ml당 열량,,
1회 제공량 42당 열량,,
1회 제공량 45ml당 열량,,
1회 제공량 45당 열량,,
1회 제공량 460ml당 열량,,
1회 제공량 470ml당 열량,,
1회 제공량 475ml당 열량,,
1회 제공량 47당 열량,,
1회 제공량 500ml당 열량,,
1회 제공량 50ml당 열량,,
1회 제공량 50당 열량,,
1회 제공량 52당 열량,,
1회 제공량 55ml당 열량,,
1회 제공량 568ml당 열량,,
1회 제공량 56ml당 열량,,
1회 제공량 56당 열량,,
1회 제공량 57당 열량,,
1회 제공량 580당 열량,,
1회 제공량 5ml당 열량,,
1회 제공량 5당 열량,,
1회 제공량 600ml당 열량,,
1회 제공량 60당 열량,,
1회 제공량 62ml당 열량,,
1회 제공량 63당 열량,,
1회 제공량 64당 열량,,
1회 제공량 65.6당 열량,,
1회 제공량 65ml당 열량,,
1회 제공량 70ml당 열량,,
1회 제공량 70당 열량,,
1회 제공량 730ml당 열량,,
1회 제공량 750ml당 열량,,
1회 제공량 75ml당 열량,,
1회 제공량 76당 열량,,
1회 제공량 80ml당 열량,,
1회 제공량 80당 열량,,
1회 제공량 84당 열량,,
1회 제공량 85ml당 열량,,
1회 제공량 85당 열량,,
1회 제공량 8당 열량,,
1회 제공량 90ml당 열량,,
1회 제공량 90당 열량,,
1회 제공량 93ml당 열량,,
1회 제공량 95당 열량,,
1회 제공량 9당 열량,,
1회 제공량110ml당 열량,,
1회 제공량당 열량,,
1회제공량 100ml당 열량,,
1회제공량 100당 열량,,
1회제공량 10ml당 열량,,
1회제공량 10당 열량,,
1회제공량 120ml당 열량,,
1회제공량 13.5당 열량,,
1회제공량 140ml당 열량,,
1회제공량 150ml당 열량,,
1회제공량 165ml당 열량,,
1회제공량 195ml당 열량,,
1회제공량 200ml당 열량,,
1회제공량 230ml당 열량,,
1회제공량 300ml당 열량,,
1회제공량 35당 열량,,
1회제공량 3당 열량,,
1회제공량 4.5당 열량,,
1회제공량 400ml당 열량,,
1회제공량 47당 열량,,
1회제공량 49당 열량,,
1회제공량 500ml당 열량,,
1회제공량 5당 열량,,
1회제공량 87당 열량,,
B1,,
B12,,
B2,,
B6,,
DHA+EPA,,
HCA,,
L-아르기닌,,
L-아르지닌,,
고카페인,,
구성,,
나이아신,,
락추로스,,
락토페린,,
비오틴,,
비오틴D,,
비타민,,
비타민A,,
비타민B,,
비타민B1,,
비타민B12,,
비타민B2,,
비타민B6,,
비타민C,,
비타민D,,
비타민D3,,
비타민E,,
비타민K,,
아르지닌,,
알룰로스,,
원재료,,
유통기한,,
자일로올리고당,,
저분자 콜라겐펩타이드,,
조단백질,,
조지방,,
주단백질,,
철분,,
총 내용량,,
총 내용량 100,,
총 내용량 1000ml당 열량,,
총 내용량 100ml당 열량,,
총 내용량 100당 열량,,
총 내용량 110ml당 열량,,
총 내용량 120ml당 열량,,
총 내용량 125ml당 열량,,
총 내용량 130ml당 열량,,
총 내용량 145ml당 열량,,
총 내용량 1500ml당 열량,,
총 내용량 150ml당 열량,,
총 내용량 175ml당 열량,,
총 내용량 180ml당 열량,,
총 내용량 190ml당 열량,,
총 내용량 1L당 열량,,
총 내용량 200ml당 열량,,
총 내용량 2300ml당 열량,,
총 내용량 230ml당 열량,,
총 내용량 235ml당 열량,,
총 내용량 245ml당 열량,,
총 내용량 250ml당 열량,,
총 내용량 275ml당 열량,,
총 내용량 300ml당 열량,,
총 내용량 330ml당 열량,,
총 내용량 350ml당 열량,,
총 내용량 355ml당 열량,,
총 내용량 375ml당 열량,,
총 내용량 400ml당 열량,,
총 내용량 473ml당 열량,,
총 내용량 500ml당 열량,,
총 내용량 70ml 당 열량,,
총 내용량 80,,
총 내용량 900ml당 열량,,
카르니틴,,
카테킨,,
카페인함량,,
콜레스트롤,,
트랜스지방,,
트렌스지방,,
포화지방,,
표시기준량,,
표시기준량 1000당 열량,,
표시기준량 100ml당 열량,,
표시기준량 100당 열량,,
표시기준량 10당 열량,,
표시기준량 120당 열량,,
표시기준량 12당 열량,,
표시기준량 150당 열량,,
표시기준량 174당 열량,,
표시기준량 1k당 열량,,
표시기준량 200당 열량,,
표시기준량 22당 열량,,
표시기준량 24당 열량,,
표시기준량 26당 열량,,
표시기준량 27당 열량,,
표시기준량 30당 열량,,
표시기준량 32당 열량,,
표시기준량 40당 열량,,
표시기준량 420당 열량,,
표시기준량 43당 열량,,
표시기준량 500nl당 열량,,
표시기준량 60당 열량,,
표시기준량 70당 열량,,
표시기준량 750ml당 열량,,
표시기준분량,,
